competition_edition,league,player_id,runtype_run_in_behind,player_name,player_short_name,runtype_run_ahead_of_the_ball
1230,Eredivisie (NL),24888,0.1,Saïd Riad  Bakari,S. Bakari,2.2
1230,Eredivisie (NL),24893,0.78,Youri Pieter Regeer,Y. Regeer,4.78
1230,Eredivisie (NL),24911,0.08,Ko Itakura,K. Itakura,0.85
1230,Eredivisie (NL),25017,2.53,Justin Lonwijk,J. Lonwijk,5.13
1230,Eredivisie (NL),25077,4.25,Jakub Moder,J. Moder,5.5
1230,Eredivisie (NL),25342,0.0,Shawn Femi Adewoye,S. Adewoye,0.27
1230,Eredivisie (NL),25347,0.0,Matisse  Didden,M. Didden,0.25
1230,Eredivisie (NL),25348,1.33,Luca Oyen,L. Oyen,5.17
1230,Eredivisie (NL),25429,0.71,In-Beom Hwang,Hwang In-Beom,3.21
1230,Eredivisie (NL),25517,4.61,Henk Veerman,H. Veerman,2.11
1230,Eredivisie (NL),25548,0.68,Marco Rente,M. Rente,4.11
1230,Eredivisie (NL),25550,0.6,Can Bozdogan,C. Bozdogan,2.07
1230,Eredivisie (NL),26218,0.33,Yassin Oukili,Y. Oukili,1.67
1230,Eredivisie (NL),26635,1.75,Bilal  Ould-Chikh,B. Ould-Chikh,5.0
1230,Eredivisie (NL),26639,0.61,Boy Kemper,B. Kemper,7.43
1230,Eredivisie (NL),26758,0.0,Sam Kersten,S. Kersten,0.27
1230,Eredivisie (NL),26778,0.78,Joey  Veerman,J. Veerman,4.65
1230,Eredivisie (NL),26860,0.14,Tsuyoshi Watanabe,T. Watanabe,1.86
1230,Eredivisie (NL),26886,8.68,Ayase Ueda,A. Ueda,3.68
1230,Eredivisie (NL),27121,6.81,Ricardo Daniel Pepi,R. Pepi,4.81
1230,Eredivisie (NL),27365,1.0,Søren Tengstedt,S. Tengstedt,3.5
1230,Eredivisie (NL),27465,0.0,Simon Graves Jensen,S. Graves,0.17
1230,Eredivisie (NL),27677,1.36,Dylan Mbayo,D. Mbayo,3.57
1230,Eredivisie (NL),27690,0.19,Alec Van Hoorenbeeck,A. Van Hoorenbeeck,0.38
1230,Eredivisie (NL),27770,0.0,Leo Greiml,L. Greiml,0.0
1230,Eredivisie (NL),28094,2.2,Oscar Pettersson,O. Pettersson,4.2
1230,Eredivisie (NL),28137,2.0,Jesper Karlsson,J. Karlsson,5.83
1230,Eredivisie (NL),28597,4.46,Raúl Moro Prescoli,Raúl Moro,5.62
1230,Eredivisie (NL),28865,2.76,Jakob Breum Martinsen,J. Breum,6.47
1230,Eredivisie (NL),29076,1.12,Vasilios Zagaritis,V. Zagaritis,6.5
1230,Eredivisie (NL),29155,0.18,Ramiz Zerrouki,R. Zerrouki,3.18
1230,Eredivisie (NL),29421,0.0,Casper Widell,C. Widell,0.25
1230,Eredivisie (NL),29922,2.89,Bryan Michael Limbombe Ekango,B. Limbombe,5.26
1230,Eredivisie (NL),29925,4.17,Anthony Descotte,A. Descotte,9.0
1230,Eredivisie (NL),30201,1.5,Eliano Reijnders,E. Reijnders,2.0
1230,Eredivisie (NL),30217,3.4,Youssef El Kachati,Y. El Kachati,2.1
1230,Eredivisie (NL),30236,5.0,Sven Mijnans,S. Mijnans,8.35
1230,Eredivisie (NL),30334,4.06,Charles-Andreas Brym,C. Brym,6.24
1230,Eredivisie (NL),30785,5.0,Szymon Włodarczyk,S. Włodarczyk,3.38
1230,Eredivisie (NL),31230,3.05,Shola Shoretire,S. Shoretire,5.95
1230,Eredivisie (NL),31266,1.0,Alfons Sampsted,A. Sampsted,3.0
1230,Eredivisie (NL),31933,3.14,Miguel Rodríguez Vidal,Miguel Rodríguez,6.27
1230,Eredivisie (NL),32167,0.13,Josip Šutalo,J. Šutalo,0.6
1230,Eredivisie (NL),32257,0.47,Jasper Dahlhaus,J. Dahlhaus,1.94
1230,Eredivisie (NL),32261,3.0,Couhaib Driouech,C. Driouech,6.26
1230,Eredivisie (NL),32381,3.5,Kamal Sowah,K. Sowah,9.71
1230,Eredivisie (NL),32457,3.54,Thibo Baeten,T. Baeten,4.92
1230,Eredivisie (NL),32510,0.41,Shurandy Sambo,S. Sambo,2.06
1230,Eredivisie (NL),32521,0.25,Tijs Velthuis,T. Velthuis,0.0
1230,Eredivisie (NL),33025,4.6,Casper Tengstedt,C. Tengstedt,1.9
1230,Eredivisie (NL),33261,1.5,Virgil Misidjan,V. Misidjan,3.36
1230,Eredivisie (NL),33266,0.55,Jannes Wieckhoff,J. Wieckhoff,1.73
