competition_edition,league,player_id,player_name,player_short_name,player_birthdate,minutes,minutes_tip,minutes_otip,performance_count,performance_included_count,performance_failed_count,possession_count_total,possession_count,possession_count_retained,possession_pct_retained,possession_count_shotwithin10s,possession_count_goalwithin10s,possession_avgdistance,possession_avgduration,reception_count_total,reception_count,reception_count_retained,reception_pct_retained,reception_count_intensepressure_tightspace,reception_count_intensepressure_tightspace_retained,reception_pct_intensepressure_tightspace_retained,reception_count_inspace,longcarry_count_total,longcarry_count,longcarry_count_retained,longcarry_count_forwardtrajectory,longcarry_count_forwardtrajectory_retained,longcarry_count_abovehsr,longcarry_count_forwardtrajectory_abovehsr,longcarry_count_forwardtrajectory_abovehsr_retained,longcarry_pct_forwardtrajectory_abovehsr_retained,longcarry_pct_retained,longcarry_pct_forwardtrajectory_retained,possession_count_forwardmomentum,giveandgo_count,possession_count_beatbymovement,possession_count_beatbypossession,possession_count_drawnpressure,possession_count_drawnpressure_retained,possession_pct_drawnpressure_retained,reception_count_intensepressure_constrainedspace,possession_count_escapedpressure,possession_pct_escapedpressure,reception_count_intensepressure,possession_count_intensepressure_progressed,possession_pct_intensepressure_progressed,possession_count_intensepressure_dangercreated,possession_pct_intensepressure_dangercreated
1194,Jupiler Pro League (BE),27511,Óscar Gil Regaño,Óscar Gil,1998-04-26,75.14,18.38,19.8,32,31,1,711.0,22.94,14.65,63.85,1.9,0.16,5.18,1.53,451.0,14.55,10.13,69.62,1.81,0.65,35.71,10.81,164.0,5.29,3.26,2.32,1.23,1.23,0.74,0.32,43.48,61.59,52.78,0.13,1.42,0.71,0.42,0.16,0.06,40.0,2.74,0.48,17.65,4.55,1.03,22.69,0.61,13.48
1194,Jupiler Pro League (BE),27591,Mardochée Nzita,M. Nzita,2000-02-24,86.3,22.58,23.71,38,38,0,1436.0,37.79,25.53,67.55,1.79,0.21,4.96,1.63,977.0,25.71,18.13,70.52,1.42,0.68,48.15,23.29,290.0,7.63,4.84,4.18,2.66,1.66,1.13,0.68,60.47,63.45,63.52,0.21,3.05,0.16,0.45,0.76,0.34,44.83,2.05,0.32,15.38,3.13,0.89,28.57,0.21,6.72
1194,Jupiler Pro League (BE),27673,Thibo Somers,T. Somers,1999-03-16,84.74,21.6,22.3,32,31,1,724.0,23.35,14.52,62.15,3.0,0.19,3.76,1.19,477.0,15.39,10.45,67.93,1.61,0.55,34.0,12.32,110.0,3.55,2.06,2.39,1.32,0.77,0.58,0.26,44.44,58.18,55.41,0.23,2.19,0.58,0.16,0.03,0.0,0.0,2.32,0.16,6.95,4.19,1.23,29.23,0.71,16.92
1194,Jupiler Pro League (BE),27697,Mory Konaté,M. Konaté,1993-11-15,74.84,18.74,20.05,30,29,1,876.0,30.21,25.62,84.82,0.93,0.17,3.13,1.2,570.0,19.66,18.41,93.68,0.24,0.14,57.14,18.17,73.0,2.52,2.1,0.79,0.69,0.38,0.1,0.1,100.0,83.56,86.96,0.17,0.24,0.03,0.0,0.1,0.1,100.0,0.45,0.14,30.77,0.69,0.03,5.0,0.0,0.0
1194,Jupiler Pro League (BE),28110,Gustaf Nilsson,G. Nilsson,1997-05-23,11.6,3.5,2.59,7,7,0,20.0,2.86,0.86,30.0,0.71,0.0,3.51,0.88,8.0,1.14,0.43,37.5,0.14,0.0,0.0,0.71,2.0,0.29,0.14,0.29,0.14,0.14,0.14,0.14,100.0,50.0,50.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.14,0.0,0.0,0.29,0.0,0.0,0.14,50.0
1194,Jupiler Pro League (BE),28211,Jordan Attah Kadiri,J. Attah Kadiri,2000-03-11,26.1,6.53,6.79,13,13,0,75.0,5.77,3.23,56.0,1.31,0.08,2.07,0.84,48.0,3.69,2.08,56.25,1.15,0.46,40.0,1.15,5.0,0.38,0.08,0.31,0.08,0.08,0.08,0.0,0.0,20.0,25.0,0.31,0.31,0.15,0.08,0.08,0.0,0.0,1.54,0.08,5.0,2.23,0.08,3.45,0.54,24.14
1194,Jupiler Pro League (BE),28553,Zaid Abner Romero,Z. Romero,1999-12-15,63.61,24.6,14.68,1,1,0,44.0,44.0,40.0,90.91,1.0,0.0,4.81,1.64,32.0,32.0,30.0,93.75,0.0,0.0,,32.0,8.0,8.0,7.0,4.0,3.0,2.0,1.0,1.0,100.0,87.5,75.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,
1194,Jupiler Pro League (BE),28828,Wolke Janssens,W. Janssens,1995-01-11,10.79,3.18,2.22,7,7,0,41.0,5.86,4.0,68.29,0.14,0.0,3.41,1.11,23.0,3.29,2.71,82.61,0.0,0.0,,3.29,8.0,1.14,0.86,0.71,0.57,0.29,0.14,0.0,0.0,75.0,80.0,0.0,0.14,0.0,0.0,0.14,0.0,0.0,0.0,0.0,,0.29,0.0,0.0,0.0,0.0
1194,Jupiler Pro League (BE),28832,Gary Magnée,G. Magnée,1999-10-12,93.44,21.82,24.68,34,34,0,1442.0,42.41,26.38,62.21,3.09,0.24,4.38,1.46,892.0,26.24,17.79,67.83,1.88,0.56,29.69,23.68,264.0,7.76,4.68,5.0,3.03,1.21,0.88,0.44,50.0,60.23,60.59,0.15,1.76,0.21,0.56,0.71,0.41,58.33,2.21,0.15,6.67,3.5,0.71,20.17,0.44,12.61
1194,Jupiler Pro League (BE),28940,Fredrik Hammar,F. Hammar,2001-02-26,98.13,25.08,25.81,38,37,1,1324.0,35.78,27.03,75.53,1.84,0.19,2.92,1.08,698.0,18.86,16.08,85.24,0.95,0.65,68.57,14.65,128.0,3.46,2.51,1.38,0.89,0.41,0.22,0.19,87.5,72.66,64.71,0.43,0.43,0.05,0.22,0.0,0.0,,1.84,0.27,14.71,2.76,0.57,20.59,0.22,7.84
1194,Jupiler Pro League (BE),29032,Christos Tzolis,C. Tzolis,2002-01-30,94.64,29.23,22.51,36,35,1,1591.0,45.46,30.09,66.18,8.06,1.34,7.39,1.95,1210.0,34.57,23.8,68.84,4.31,2.06,47.68,25.86,511.0,14.6,9.29,9.57,5.54,3.8,3.03,1.4,46.23,63.6,57.91,1.51,6.37,1.69,2.37,1.94,0.86,44.12,5.43,0.89,16.32,9.49,1.71,18.07,2.69,28.31
1194,Jupiler Pro League (BE),29446,Jesper Tolinsson,J. Tolinsson,2003-02-28,81.12,22.24,20.88,1,1,0,52.0,52.0,36.0,69.23,1.0,0.0,5.21,1.55,37.0,37.0,28.0,75.68,2.0,1.0,50.0,36.0,11.0,11.0,6.0,4.0,1.0,2.0,2.0,0.0,0.0,54.55,25.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,5.0,3.0,60.0,0.0,0.0
1194,Jupiler Pro League (BE),29498,Allahyar Sayyadmanesh,A. Sayyadmanesh,2001-06-29,79.06,20.94,21.66,29,27,2,773.0,28.63,15.44,53.95,3.63,0.37,7.72,2.09,532.0,19.7,11.59,58.83,3.26,1.52,46.59,14.89,257.0,9.52,4.59,5.44,2.41,2.33,1.96,0.81,41.51,48.25,44.22,0.52,1.48,0.67,1.89,1.04,0.37,35.71,4.26,0.81,19.13,6.37,1.74,27.33,0.85,13.37
1194,Jupiler Pro League (BE),29639,Michał Skóraś,M. Skóraś,2000-02-15,84.39,22.63,24.39,34,33,1,1204.0,36.48,24.12,66.11,4.33,0.45,6.89,1.93,847.0,25.67,17.7,68.95,2.52,0.88,34.94,21.09,355.0,10.76,6.91,6.03,3.33,2.21,1.79,0.76,42.37,64.23,55.28,0.27,2.91,0.45,1.42,1.21,0.64,52.5,3.52,0.79,22.41,5.88,1.03,17.53,0.73,12.37
