competition_edition,league,player_id,player_name,player_short_name,player_birthdate,minutes,minutes_tip,minutes_otip,performance_count,performance_included_count,performance_failed_count,onballengagement_count_total,onballengagement_count,onballengagement_count_directregain,onballengagement_pct_directregain,onballengagement_count_indirectregain,onballengagement_pct_indirectregain,onballengagement_count_directdisruption,onballengagement_pct_directdisruption,onballengagement_count_indirectdisruption,onballengagement_pct_indirectdisruption,onballengagement_count_abovehsr,onballengagement_count_forcedbackward,onballengagement_pct_forcedbackward,onballengagement_count_beatenbymovement,onballengagement_pct_beatenbymovement,onballengagement_count_beatenbypossession,onballengagement_pct_beatenbypossession,onballengagement_count_pressingchain,onballengagement_count_consecutive,onballengagement_count_forwardtrajectory,onballengagement_count_dangeroussituation,onballengagement_count_dangeroussituation_dangermitigated,onballengagement_pct_dangermitigated,onballengagement_count_linebreakaffected,onballengagement_pct_linebreakaffected
1396,Eliteserien (NO),769488,Martin Børsheim,M. Børsheim,2005-02-18,100.28,28.33,30.05,16,15,1,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,
1396,Eliteserien (NO),771985,Mathias Minik Fals Schandorff Christensen,M. Christensen,2001-11-10,85.28,21.44,27.46,15,15,0,988.0,65.87,1.4,2.13,8.6,13.06,0.53,0.81,1.33,2.02,8.87,5.53,8.4,0.2,0.3,0.93,1.42,18.27,15.13,21.73,14.93,0.87,1.51,7.4,11.23
1396,Eliteserien (NO),771995,Mads Bomholt,M. Bomholt,2005-12-30,90.2,24.58,24.39,16,15,1,915.0,61.0,1.0,1.64,8.07,13.22,0.47,0.76,1.8,2.95,8.6,3.73,6.12,0.4,0.66,0.47,0.77,24.67,11.33,19.2,8.93,0.93,1.96,5.87,9.62
1396,Eliteserien (NO),773068,Samukelo Kabini,S. Kabini,2004-03-15,91.57,29.65,23.77,12,12,0,311.0,25.92,1.92,7.4,4.08,15.75,0.58,2.25,1.92,7.4,4.75,1.42,5.47,0.83,3.22,0.67,2.57,4.0,3.92,5.08,10.67,1.75,7.35,0.92,3.54
1396,Eliteserien (NO),787204,Daniel Demenge Daga,D. Daga,2007-01-10,75.91,25.8,17.75,4,4,0,122.0,30.5,2.5,8.2,4.25,13.93,0.25,0.82,0.5,1.64,4.75,1.0,3.28,0.25,0.82,1.25,4.1,8.75,3.75,6.5,9.5,1.75,6.66,1.25,4.1
1396,Eliteserien (NO),796628,Sander Hestetun Kilen,S. Kilen,2005-05-30,87.31,22.32,28.43,15,15,0,790.0,52.67,0.73,1.39,5.27,10.0,0.13,0.25,2.13,4.05,10.27,3.53,6.71,0.2,0.38,0.33,0.63,20.6,7.93,19.93,8.67,0.73,1.71,5.73,10.89
1396,Eliteserien (NO),799189,Vetle Auklend,V. Auklend,2005-03-22,37.81,11.93,11.16,11,11,0,132.0,12.0,0.45,3.79,2.55,21.21,0.18,1.51,0.55,4.54,2.36,0.82,6.82,0.18,1.51,0.36,3.03,3.0,1.36,2.91,4.36,0.73,7.19,0.27,2.27
1396,Eliteserien (NO),811242,Michael Opoku,M. Opoku,2005-07-20,49.45,12.98,14.54,4,4,0,123.0,30.75,1.0,3.25,2.75,8.94,0.25,0.81,1.75,5.69,6.0,3.75,12.2,0.0,0.0,0.5,1.63,10.0,5.25,9.5,5.25,0.75,3.35,3.0,9.76
1396,Eliteserien (NO),816764,Jakub Jezierski,J. Jezierski,2004-07-09,6.83,1.0,1.11,2,1,1,6.0,6.0,1.0,16.67,1.0,16.67,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,,1.0,16.67
1396,Eliteserien (NO),817178,Tobias  Guddal,T. Guddal,2002-07-25,98.98,30.34,30.74,15,15,0,266.0,17.73,0.6,3.38,4.07,22.93,0.2,1.13,0.53,3.01,3.0,0.2,1.13,1.2,6.77,0.73,4.14,3.8,1.73,3.53,8.93,1.53,10.23,0.47,2.63
