competition_edition,league,player_id,player_name,player_short_name,player_birthdate,minutes,minutes_tip,minutes_otip,performance_count,performance_included_count,performance_failed_count,optionoffered_count_total,optionoffered_count,optionoffered_count_targeted,optionoffered_count_received,optionoffered_count_shotwithin10s,optionoffered_count_goalwithin10s,optionoffered_count_linebreak,optionoffered_count_dangerous,optionoffered_count_inspace,optionoffered_count_wide,optionoffered_count_insidedefensiveshape,optionoffered_count_outsidedefensiveshape,optionoffered_count_penaltyarea,optionoffered_count_penaltyarea_received,optionoffered_count_penaltyarea_shotwithin10s,optionoffered_count_penaltyarea_goalwithin10s
1230,Eredivisie (NL),67577,Xavier Mbuyamba,X. Mbuyamba,2001-12-31,50.53,12.47,16.07,15,14,1,644.0,46.0,16.0,14.93,0.14,0.0,2.71,2.57,14.5,5.21,12.14,33.86,1.36,0.0,0.0,0.0
1230,Eredivisie (NL),67773,Lequincio Zeefuik,L. Zeefuik,2004-11-26,57.42,13.72,15.91,23,23,0,1462.0,63.57,19.96,10.65,1.39,0.04,19.0,24.04,3.09,9.91,50.26,13.3,10.48,0.87,0.39,0.0
1230,Eredivisie (NL),68940,Roy Steur,R. Steur,2005-02-01,78.89,19.4,21.16,3,3,0,87.0,29.0,17.33,17.33,0.0,0.0,0.0,0.0,17.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0
1230,Eredivisie (NL),69071,Oualid Agougil,O. Agougil,2005-08-07,22.97,6.16,6.61,6,6,0,178.0,29.67,8.0,6.67,0.5,0.0,2.33,2.67,6.0,8.83,20.0,9.67,1.17,0.0,0.0,0.0
1230,Eredivisie (NL),69074,Mike Kleijn,M. Kleijn,2005-02-09,46.59,11.46,14.37,10,10,0,395.0,39.5,13.0,12.1,0.2,0.1,6.4,3.5,11.0,26.7,5.4,34.1,1.4,0.2,0.1,0.1
1230,Eredivisie (NL),69078,Thijmen Blokzijl,T. Blokzijl,2005-02-25,97.62,27.07,27.22,33,32,1,2944.0,92.0,33.59,32.88,0.47,0.03,0.97,2.47,34.12,17.03,7.94,84.06,1.75,0.09,0.0,0.0
1230,Eredivisie (NL),69081,Jaden Slory,J. Slory,2005-05-09,48.24,12.99,13.45,19,19,0,1067.0,56.16,15.95,12.05,1.53,0.16,17.95,9.32,9.89,36.63,12.37,43.79,4.11,0.68,0.16,0.0
1230,Eredivisie (NL),69223,Younes Taha El Idrissi,Y. Taha,2002-11-27,86.04,24.31,23.87,31,30,1,3394.0,113.13,30.77,22.63,3.03,0.2,38.43,25.3,15.63,34.73,66.07,47.07,7.4,0.73,0.4,0.03
1230,Eredivisie (NL),70182,Walid Ould-Chikh,W. Ould-Chikh,1999-11-06,66.74,15.79,18.71,24,24,0,1500.0,62.5,17.96,15.42,1.29,0.21,14.17,4.08,13.0,24.0,38.75,23.75,0.83,0.04,0.04,0.0
1230,Eredivisie (NL),70449,Wouter Goes,W. Goes,2004-06-10,88.92,27.3,24.23,33,33,0,3718.0,112.67,41.12,40.0,0.58,0.06,1.06,2.85,40.76,26.88,5.58,107.09,2.91,0.18,0.09,0.0
