competition_edition,league,player_id,runtype_run_in_behind,player_name,player_short_name,runtype_cross_receiver_run,runtype_overlap_run,runtype_underlap_run,runtype_coming_short_run,runtype_pulling_half_space_run,runtype_run_ahead_of_the_ball,runtype_pulling_wide_run,runtype_support_run,runtype_dropping_off_run
1171,Ekstraklasa (PL),132655,6.5,Theodoros Tsirigotis,T. Tsirigotis,4.83,0.0,0.33,0.5,0.33,2.0,0.0,0.67,0.0
1171,Ekstraklasa (PL),140160,5.55,Taofeek Ismaheel,T. Ismaheel,2.82,0.45,0.91,1.36,1.23,8.68,2.05,2.45,0.77
1171,Ekstraklasa (PL),151341,1.22,Igor Strzałek,I. Strzałek,1.0,0.39,0.78,2.78,1.83,5.11,2.0,2.33,0.44
1171,Ekstraklasa (PL),156787,0.07,Mor Ndiaye,M. Ndiaye,0.21,0.07,0.0,5.93,0.29,0.71,0.29,3.64,1.14
1171,Ekstraklasa (PL),156899,0.81,Elves Umar Baldé,Elves Baldé,1.19,0.56,0.44,0.81,0.19,4.94,0.69,1.75,0.19
1171,Ekstraklasa (PL),158158,3.12,Fábio Ronaldo  Costa Conceição,Fábio Ronaldo,3.69,0.69,0.56,1.81,0.25,10.19,1.06,1.69,0.31
1171,Ekstraklasa (PL),162547,9.0,Rafał Adamski,R. Adamski,6.0,0.0,0.0,7.0,2.0,8.0,0.0,6.0,0.0
1171,Ekstraklasa (PL),163715,0.13,Peter Baráth,P. Baráth,0.47,0.27,0.13,6.67,0.27,2.67,0.67,5.33,3.07
1171,Ekstraklasa (PL),166704,1.0,Anton Tsarenko,A. Tsarenko,1.0,0.0,1.0,2.0,0.0,3.5,1.0,2.5,0.0
1171,Ekstraklasa (PL),166707,0.06,Maksym Dyachuk,M. Dyachuk,0.06,0.06,0.0,0.0,0.0,0.06,0.18,0.41,3.47
1171,Ekstraklasa (PL),166805,0.33,Jakub Lewicki,J. Lewicki,0.47,2.6,1.67,0.67,0.33,4.33,1.53,5.93,3.87
1171,Ekstraklasa (PL),166815,2.19,Dawid Drachal,D. Drachal,2.5,0.31,0.81,5.0,0.94,6.0,0.75,6.19,0.5
1171,Ekstraklasa (PL),170360,0.0,Maksymilian Pingot,M. Pingot,0.0,0.0,0.0,0.33,0.0,0.33,0.17,0.67,1.83
1171,Ekstraklasa (PL),170368,0.33,Gísli Gottskalk Thórdarson,G. Thórdarson,0.56,0.0,0.33,4.33,0.11,3.78,0.44,3.0,0.56
1171,Ekstraklasa (PL),171878,0.0,Thiago Dombroski Moreira,T. Dombroski,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1171,Ekstraklasa (PL),172695,1.33,Fabian Hiszpański,F. Hiszpański,1.0,0.0,0.33,0.0,0.0,1.67,1.33,1.0,0.0
