id,name,coach,stadium.id,stadium.name,stadium.city,stadium.capacity,stadium
2679,Colombia U20,,2310.0,Estadio Miguel Alemán Valdés,Celaya,,
2692,KSV Hessen Kassel,,2317.0,Auestadion,Kessen,18737.0,
2695,Australia U20,,1486.0,Anz Stadium,Sydney,83500.0,
2841,Future FC,,580.0,Military Production Stadium,Cairo,30000.0,
2698,Chile U20,,1706.0,Estadio Nacional de Chile,Santiago de Chile,46190.0,
2780,Incheon United FC,,2651.0,Incheon Football Stadium,Incheon,20356.0,
2712,"Japan U17, Women",,1166.0,Yanmar Stadium Nagai,Osaka,47000.0,
2702,"India U17, Women",,1791.0,Mumbai Football Arena,Mumbai,18000.0,
2791,Iceland U19,,1455.0,Kr-Vollur,Reykjavic,2801.0,
2717,Adanaspor FK,,2383.0,Yeni Adana Stadyumu,Adana,33000.0,
2683,Cuba U20,,1600.0,Estadio Pedro Marrero,Havana,30000.0,
2733,Toronto FC II,,2397.0,York Lions Stadium,Toronto,4000.0,
2772,Oklahoma City Energy FC,,2775.0,Energy FC Field at Taft Stadium,,,
3300,FC Stade Nyonnais,,1415.0,Centre sportif de Colovray,Nyon,1000.0,
4753,FC Samgurali Tskaltubo,,6297.0,Stadioni 26 Maisi,Tskaltubo ,12000.0,
2750,Las Vegas Lights FC,,2413.0,Cashman Field,Las Vegas,12500.0,
2507,Seinäjoen Jalkapallokerho,,2185.0,OmaSp Stadion,Seinäjöki,,
3324,"Lille OSC Métropole, Women",,2954.0,Complexe Sportif de Luchin,Camphin-En-Pévèle,2000.0,
2516,Hapoel Nof HaGalil FC,,2189.0,Green Stadium,Nazareth Illit,,
2769,Oakland Roots SC,,2430.0,Laney College Football Stadium,Oakland,5500.0,
2522,Italy U19,,90.0,Stadio Olimpico,Rome,72698.0,
3341,CF Atlante,,597.0,Estadio Azul,Mexico City,,
2528,Longford Town FC,,2196.0,Bishopsgate,Longford,,
3055,Fiji Under 20,,2040.0,Grand Hamad Stadium,Doha,,
2538,UD Vilafranquense,,2207.0,Estádio Municipal de Rio Maior,Rio Maior,,
5203,Burnley FC  Academy U18,,2602.0,Barnfield Training Centre,Burnley,1500.0,
2550,KF Ballkani,,2216.0,Stadiumi i qytetit të Suharekës,Suharekë,,
3353,Diocesano CF,,2976.0,Estadio Municipal de Arroyo de la Luz,Arroyo de la Luz,3000.0,
2561,İstanbulspor AŞ,,2227.0,Esenyurt Necmi Kadıoğlu Stadyumu,İstanbul,,
2776,Sevilla FC U19,,2451.0,Ciudad Deportiva José Ramón Cisneros Palacios,Carretera de Utrera ,5000.0,
2580,"Spain U17, Women",,228.0,Estadio de Vallecas,Madrid,14708.0,
1835,"Manchester City, Women",,1503.0,Manchester Regional Arena,Manchester,6500.0,
3364,CD Atlético Paso,,2985.0,Campo Municipal de El Paso,El Paso,3500.0,
2592,"KFF Hajvalia, Women",,2245.0,Stadiumi i Hajvalisë,Kishnicë,,
2781,Jeju United FC,,2467.0,Jeju World Cup Stadium,Seogwipo-si,29800.0,
3375,Roasso Kumamoto,,2993.0,Egao Kenko Stadium,Kumamoto,32000.0,
3383,Iwaki SC,,3014.0,Iwaki Green Stadium,Iwaki,30000.0,
3555,Sampaio Corrêa FE,,3154.0,Estádio Olímpico do Pará,Belém,53.0,
2488,CR Vasco da Gama U20,,2561.0,Estádio Nivaldo Pereira,Nova Iguaçu,5000.0,
2630,CD Motagua,,2256.0,Estadio Tiburcio Carías Andino,Tegucigalpa,,
2634,FK Metalist Kharkiv,,2262.0,Avangard,Uzhgorod,,
2494,Operário Ferroviário EC,,2274.0,Estádio Germano Kruger,Ponta Grossa,,
2639,SSV Jahn 2000 Regensburg U17,,2277.0,Sportpark am Kaulbachweg,Regensburg,,
2533,Arbroath FC,,2203.0,Gayfield Park,Arbroath,,
2643,Deportivo Mongomo,,2281.0,Estadio La Libertad,Mongomo,,
2801,York United FC,,2397.0,York Lions Stadium,Toronto,4000.0,
2651,US Monastirienne,,2288.0,Stade Mustapha Ben Jennet,Monastir,,
4059,Girona FC Under 19,,3658.0,Camp Municipal Vidreres,Vidreres,712.0,
2658,Plateau United FC,,2295.0,Rwang Pam Stadium,Jos,,
2805,Atlético Ottawa,,2574.0,TD Place Stadium,Ottawa,26559.0,
2664,Centre de Formation de Football Andoharanofotsy,,2301.0,Barikadimy Stadium,Toamasina,,
2668,VfR Aalen 1921,,2304.0,Ostalb Arena,Aalen,,
4065,AS Monaco FC Under 19,,3661.0,Stade Intercommunal Beaulieu,Saint Jean Cap Ferrat,500.0,
2819,Mansfield Town FC,,2584.0,One Call Stadium,Mansfield,9186.0,
2696,Bangladesh U20,,2358.0,Bangabandhu National Stadium, Dhaka,36000.0,
2699,Bahrain U20,,1793.0,Bahrain National Stadium,Manama,30000.0,
2831,Kapfenberger SV,,2609.0,Franz-Fekete-Stadion,Kapfenberg,12000.0,
