competition_edition,league,player_id,player_name,player_short_name,player_birthdate,minutes,minutes_tip,minutes_otip,performance_count,performance_included_count,performance_failed_count,passopportunity_count_total,passopportunity_count,pass_count_goalwithin10s,pass_count_shotwithin10s,pass_count_attempted_total,pass_count_attempted,pass_count_completed,pass_pct_completed,pass_avgxpass_attempted,pass_avgdistance,pass_count_longrange_attempted,pass_count_onetouch_attempted,pass_count_quickpass_attempted,pass_count_onetouch_dangerous_attempted,pass_count_quickpass_dangerous_attempted,passopportunity_count_linebreak,pass_count_linebreak_attempted,pass_count_linebreak_completed,passopportunity_count_torun,pass_count_torun_attempted,pass_count_torun_completed,pass_pct_torun_completed,pass_avgxpass_torun_attempted,pass_count_torun_shotwithin10s,pass_count_torun_goalwithin10s,passopportunity_count_dangerous,pass_count_dangerous_attempted,pass_pct_dangerous_completed,pass_count_dangerous_completed,pass_count_difficultpass_attempted
1215,1. HNL (HR),760673,Teo Barisic,T. Barisic,2004-09-30,60.39,16.96,13.91,6,6,0,596.0,99.33,0.0,1.0,198.0,33.0,30.33,91.92,93.79,17.4,1.67,2.67,5.83,0.17,0.0,28.0,7.5,6.33,14.67,4.83,4.17,86.21,87.65,0.0,0.0,5.5,0.67,50.0,0.33,1.83
1215,1. HNL (HR),799146,Fran Peček,F. Peček,2007-03-08,29.48,4.83,8.68,1,1,0,13.0,13.0,0.0,0.0,4.0,4.0,3.0,75.0,96.66,19.76,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,6.0,1.0,1.0,100.0,96.5,0.0,0.0,5.0,0.0,,0.0,0.0
1215,1. HNL (HR),799314,Gustavo Hidalgo Albarracín,G. Albarracín,2006-04-28,23.76,6.25,5.29,4,4,0,122.0,30.5,0.0,0.5,34.0,8.5,6.25,73.53,85.65,13.98,0.0,1.25,2.25,0.25,0.0,6.0,0.5,0.5,4.5,0.5,0.5,100.0,94.55,0.0,0.0,5.5,1.0,50.0,0.5,1.25
1215,1. HNL (HR),801770,Luka Savatović,L. Savatović,2004-07-06,93.81,26.31,28.74,3,3,0,168.0,56.0,0.0,0.33,64.0,21.33,16.67,78.12,85.64,25.86,4.0,6.67,2.0,0.0,0.0,16.0,5.33,3.67,11.33,2.67,2.67,100.0,94.77,0.33,0.0,0.0,0.0,,0.0,2.67
1215,1. HNL (HR),808538,Samuel Akere,S. Akere,2004-02-16,60.97,14.66,16.85,18,17,1,754.0,44.35,0.0,1.0,188.0,11.06,8.82,79.79,83.24,13.33,0.24,2.88,1.29,0.41,0.18,2.53,0.41,0.41,12.82,3.24,2.47,76.36,79.34,0.29,0.0,9.29,1.71,62.07,1.06,2.12
1215,1. HNL (HR),809056,Anes Huskić ,A. Huskić,2007-03-05,20.05,5.26,3.86,3,3,0,89.0,29.67,0.33,1.0,22.0,7.33,5.67,77.27,79.33,10.85,0.0,3.0,0.67,1.0,0.33,1.33,0.33,0.0,10.33,2.0,1.33,66.67,65.73,0.0,0.0,14.0,2.67,62.5,1.67,1.67
1215,1. HNL (HR),809259,Lovro Kitin,L. Kitin,2007-02-03,20.04,5.08,4.12,3,3,0,51.0,17.0,0.0,0.33,19.0,6.33,5.0,78.95,87.66,17.01,0.0,2.67,1.33,0.0,0.0,2.33,1.0,0.67,3.0,1.67,1.33,80.0,82.09,0.0,0.0,1.0,0.0,,0.0,0.33
1215,1. HNL (HR),809785,Ante Šuto,A. Šuto,2000-06-19,74.34,18.68,18.74,18,18,0,740.0,41.11,0.33,1.33,220.0,12.22,9.17,75.0,74.98,11.94,0.33,3.39,2.28,0.44,0.39,2.06,0.5,0.39,15.22,4.89,3.61,73.86,68.55,0.89,0.33,11.39,3.06,58.18,1.78,3.56
1215,1. HNL (HR),809852,Dukan Ahmeti,D. Ahmeti,2007-10-26,48.29,12.59,12.26,13,13,0,593.0,45.62,0.08,1.08,167.0,12.85,10.38,80.84,80.51,14.71,0.38,3.62,1.69,0.77,0.15,4.23,1.15,0.69,11.77,3.23,2.46,76.19,69.36,0.85,0.08,10.62,2.62,73.53,1.92,3.08
1215,1. HNL (HR),810385,Sven Lesjak,S. Lesjak,2006-08-23,72.18,15.92,23.42,11,11,0,777.0,70.64,0.0,0.18,303.0,27.55,21.82,79.21,86.09,24.01,5.09,6.55,5.0,0.0,0.0,17.18,5.45,3.09,8.0,2.73,2.45,90.0,84.59,0.0,0.0,0.45,0.09,0.0,0.0,5.36
1215,1. HNL (HR),810936,Cardoso Pinto Mandume Varela,Cardoso Varela,2008-10-29,25.07,7.45,5.21,14,14,0,341.0,24.36,0.07,0.64,105.0,7.5,5.29,70.48,75.42,12.65,0.29,1.64,1.0,0.29,0.36,0.36,0.21,0.21,8.07,2.79,1.79,64.1,65.31,0.21,0.07,10.21,2.79,53.85,1.5,2.14
1215,1. HNL (HR),813390,Raí de Oliveira Alves,Raí,2004-04-26,13.61,3.97,3.85,3,3,0,61.0,20.33,0.0,1.33,19.0,6.33,5.0,78.95,80.12,14.15,0.0,1.33,0.33,0.0,0.33,2.0,0.67,0.67,5.0,1.0,0.67,66.67,68.07,0.0,0.0,6.0,1.67,60.0,1.0,2.0
1215,1. HNL (HR),816840,Šimun Butić,Š. Butić,2006-04-07,61.13,14.11,17.33,22,21,1,635.0,30.24,0.19,0.9,168.0,8.0,5.33,66.67,70.14,14.68,0.43,1.57,1.52,0.33,0.14,1.1,0.38,0.29,12.52,3.52,2.29,64.87,70.4,0.38,0.14,10.9,2.57,48.15,1.24,2.95
1215,1. HNL (HR),818351,Luka Vrzić,L. Vrzić,2007-01-05,44.86,11.46,12.61,29,28,1,1229.0,43.89,0.04,0.71,389.0,13.89,10.5,75.58,77.48,14.37,0.46,2.96,2.86,0.32,0.36,4.43,1.04,0.57,14.18,4.61,2.82,61.24,66.33,0.46,0.04,11.14,2.82,44.3,1.25,4.04
1215,1. HNL (HR),818668,Raul Kumar,R. Kumar,2008-02-06,88.53,24.02,23.66,21,21,0,2485.0,118.33,0.24,0.76,941.0,44.81,39.38,87.89,92.0,19.27,3.57,10.52,9.43,0.05,0.0,29.71,8.95,6.9,12.76,5.05,4.48,88.68,88.19,0.19,0.05,2.19,0.33,57.14,0.19,3.9
1215,1. HNL (HR),819516,Bruno Durdov,B. Durdov,2007-12-11,32.85,9.43,6.44,16,14,2,454.0,32.43,0.14,0.79,123.0,8.79,5.93,67.48,74.76,15.49,0.5,2.43,1.07,0.21,0.14,1.57,0.64,0.36,11.07,2.71,1.43,52.63,63.94,0.21,0.14,9.79,2.21,35.48,0.79,2.86
1215,1. HNL (HR),822717,Ivano Kolarik,I. Kolarik,2007-05-20,53.77,13.87,15.23,8,7,1,454.0,64.86,0.0,0.43,179.0,25.57,22.0,86.03,89.5,17.77,2.0,4.71,5.57,0.0,0.0,18.43,6.86,5.43,15.86,8.0,7.14,89.29,83.84,0.29,0.0,1.43,0.14,0.0,0.0,3.14
1215,1. HNL (HR),823136,Luka Hodak,L. Hodak,2006-06-10,66.35,18.17,14.64,16,16,0,1259.0,78.69,0.12,0.75,405.0,25.31,22.19,87.66,91.2,14.73,0.94,3.56,6.38,0.19,0.06,16.0,3.81,3.19,11.69,4.5,3.75,83.33,87.11,0.25,0.0,4.62,1.0,43.75,0.44,2.19
1215,1. HNL (HR),826987,Matej Grahovac,M. Grahovac,2008-03-26,,,,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1215,1. HNL (HR),839410,Karlo Išasegi,K. Išasegi,2000-08-24,38.31,10.07,9.86,15,14,1,539.0,38.5,0.07,1.07,177.0,12.64,9.71,76.84,77.29,17.36,1.07,2.14,2.0,0.21,0.36,6.43,1.43,1.0,10.07,3.71,2.64,71.15,64.41,0.64,0.07,6.71,2.21,45.16,1.0,3.86
1215,1. HNL (HR),847732,Niko Farkaš,N. Farkaš,2006-11-29,33.11,7.91,9.95,7,6,1,151.0,25.17,0.0,0.17,45.0,7.5,5.5,73.33,79.79,13.77,0.33,2.5,1.17,0.33,0.33,3.83,1.33,0.83,8.0,3.17,2.17,68.42,74.28,0.17,0.0,4.0,1.5,33.33,0.5,2.17
1215,1. HNL (HR),848825,Vane Jovanov,V. Jovanov,1998-12-28,72.4,16.76,22.5,11,11,0,663.0,60.27,0.0,0.82,228.0,20.73,13.91,67.11,73.04,17.31,1.55,5.64,4.36,0.91,0.64,8.55,3.73,2.18,16.09,6.09,3.73,61.19,66.2,0.18,0.0,10.18,3.45,36.84,1.27,8.18
1215,1. HNL (HR),849620,Lovre Kulušić,L. Kulušić,2006-11-15,53.03,12.04,14.29,7,6,1,75.0,12.5,0.0,0.0,28.0,4.67,3.17,67.86,68.38,14.33,0.0,3.5,0.33,0.5,0.0,0.0,0.0,0.0,4.33,1.5,1.17,77.78,77.54,0.0,0.0,3.83,0.83,60.0,0.5,2.0
1215,1. HNL (HR),849623,Mirko Sušak,M. Sušak,2004-06-15,42.32,12.03,10.58,24,23,1,487.0,21.17,0.0,0.3,144.0,6.26,4.96,79.17,80.51,13.45,0.26,1.61,1.09,0.35,0.13,0.96,0.26,0.13,7.09,2.26,1.65,73.08,72.71,0.17,0.0,5.83,1.04,45.83,0.48,1.39
