competition_edition,league,player_id,player_name,player_short_name,player_birthdate,minutes,minutes_tip,minutes_otip,performance_count,performance_included_count,performance_failed_count,offballrun_count_total,offballrun_count,offballrun_count_shotwithin10s,offballrun_count_goalwithin10s,offballrun_count_targeted,offballrun_count_received,offballrun_avgdistance,offballrun_count_abovehsr,offballrun_count_penaltyarea,offballrun_count_dangerous,offballrun_count_dangerous_targeted,offballrun_count_dangerous_received
1265,Primeira Liga (PT),42185,Xander Severina,X. Severina,2001-04-12,25.85,5.34,6.08,5,5,0,38.0,7.6,0.0,0.0,2.4,1.8,13.88,2.6,0.6,1.8,0.4,0.4
1265,Primeira Liga (PT),42283,Andrew da Silva Ventura,Andrew,2001-07-01,97.66,23.74,23.85,17,16,1,11.0,0.69,0.0,0.0,0.25,0.25,7.24,0.0,0.0,0.0,0.0,0.0
1265,Primeira Liga (PT),42452,Santiago García González ,Santi García,2001-08-29,88.83,22.75,21.64,33,32,1,1028.0,32.12,1.12,0.0,10.28,7.44,14.0,7.38,5.53,10.72,2.88,1.41
1265,Primeira Liga (PT),42457,Ángel Algobia Esteves,Á. Algobia,1999-06-23,56.55,11.19,17.48,21,21,0,260.0,12.38,0.33,0.05,2.67,2.05,14.14,2.14,0.9,3.1,0.67,0.43
1265,Primeira Liga (PT),42593,Marvin Elimbi,M. Elimbi,2003-02-20,95.94,23.33,24.14,28,27,1,181.0,6.7,0.07,0.0,1.93,1.74,12.63,1.0,0.37,0.37,0.26,0.11
1265,Primeira Liga (PT),42650,Ismael Gharbi ,Ismael Gharbi,2004-04-10,68.88,28.49,12.02,1,1,0,40.0,40.0,0.0,0.0,13.0,9.0,10.75,12.0,4.0,12.0,2.0,1.0
1265,Primeira Liga (PT),42749,Nikolaos Athanasiou,N. Athanasiou,2001-03-16,83.7,20.44,24.2,17,17,0,272.0,16.0,0.71,0.06,6.18,5.41,14.11,4.0,0.35,2.53,0.41,0.41
1265,Primeira Liga (PT),42980,Nabil Zoubdi Touaizi,Nabil Touaizi,2001-02-01,94.93,22.16,27.25,32,32,0,939.0,29.34,0.78,0.06,9.72,7.94,15.9,11.62,1.59,3.19,0.84,0.75
1265,Primeira Liga (PT),43052,Adrian Leon Barišić,A. Barišić,2001-07-19,80.61,26.5,20.15,6,6,0,62.0,10.33,0.0,0.0,2.83,2.83,11.48,1.83,0.0,0.0,0.0,0.0
1265,Primeira Liga (PT),43304,Zeno Debast,Z. Debast,2003-10-24,78.51,25.2,16.84,17,17,0,110.0,6.47,0.06,0.0,2.71,2.65,11.71,0.65,0.0,0.12,0.0,0.0
1265,Primeira Liga (PT),43668,Gian Franco Cabezas Rodríguez,G. Cabezas,2003-01-01,12.56,2.5,2.75,5,5,0,10.0,2.0,0.0,0.0,0.2,0.2,13.85,0.6,0.0,0.4,0.0,0.0
1265,Primeira Liga (PT),43883,Elias Manoel Alves de Paula,Elias Manoel,2001-11-30,26.19,6.63,5.31,15,15,0,109.0,7.27,0.53,0.07,2.93,1.73,14.21,2.33,1.67,4.73,1.73,1.07
1265,Primeira Liga (PT),43884,Adriel Vasconcelos Ramos,Adriel,2001-01-14,99.24,18.88,31.37,16,15,1,1.0,0.07,0.0,0.0,0.07,0.07,7.26,0.0,0.0,0.0,0.0,0.0
1265,Primeira Liga (PT),46857,Leonardo Rodrigues dos Santos,Léo Santos,1998-12-09,98.03,20.91,26.36,31,28,3,237.0,8.46,0.0,0.0,3.04,2.75,11.86,1.39,0.29,0.57,0.14,0.0
1265,Primeira Liga (PT),46948,Lukas Hornicek,L. Hornicek,2002-07-13,99.09,33.61,21.81,33,33,0,45.0,1.36,0.0,0.0,0.79,0.76,6.57,0.0,0.0,0.0,0.0,0.0
1265,Primeira Liga (PT),47752,Gustavo Garcia dos Santos,Garcia,2002-01-04,55.68,14.37,14.0,12,12,0,161.0,13.42,0.5,0.0,4.67,4.33,14.17,4.33,0.17,0.33,0.0,0.0
1265,Primeira Liga (PT),49095,Leonardo Daniel Rivas Conge,L. Rivas,2001-12-06,64.29,12.76,20.19,26,26,0,200.0,7.69,0.23,0.0,2.38,2.04,13.45,1.96,0.46,1.77,0.27,0.15
1265,Primeira Liga (PT),53128,Michel Augusto Modesto Rafael dos Santos,Michel,2003-05-20,80.29,25.99,19.36,4,4,0,23.0,5.75,0.0,0.0,1.0,1.0,9.47,0.25,0.0,0.0,0.0,0.0
1265,Primeira Liga (PT),53219,Marcos Vinicios Lopes Moura,Sorriso,2001-02-23,91.1,23.19,22.95,33,32,1,1010.0,31.56,1.41,0.16,11.94,8.19,13.88,9.09,5.91,13.91,4.53,2.44
1265,Primeira Liga (PT),54936,Lazar Carević,L. Carević,1999-03-16,99.87,25.41,25.07,34,33,1,7.0,0.21,0.0,0.0,0.06,0.06,4.61,0.0,0.0,0.0,0.0,0.0
1265,Primeira Liga (PT),54942,Ángel Alarcón Galiot,Ángel Alarcón,2004-05-15,23.23,8.48,4.57,3,3,0,24.0,8.0,0.33,0.0,2.33,1.33,12.16,1.33,1.33,3.67,0.33,0.33
1265,Primeira Liga (PT),54990,Joel Jorquera Romero,Joel Jorquera,2000-08-19,12.97,2.84,4.39,4,4,0,12.0,3.0,0.0,0.0,1.25,1.0,13.84,1.5,0.25,1.75,0.5,0.5
1265,Primeira Liga (PT),56498,Paulo Victor de Almeida Barbosa,P. Victor,2001-04-13,69.14,17.17,19.12,21,21,0,374.0,17.81,0.38,0.0,5.81,5.24,14.34,5.19,0.52,2.33,0.62,0.43
1265,Primeira Liga (PT),57756,José Vitor Lima Cardoso,Zé Vitor,2001-02-09,99.22,21.43,26.78,30,26,4,151.0,5.81,0.0,0.0,2.04,1.96,10.34,0.42,0.19,0.27,0.08,0.04
1265,Primeira Liga (PT),59973,Iyad Mohamed,Iyad Mohamed,2001-03-05,50.15,9.43,14.5,22,21,1,165.0,7.86,0.05,0.0,2.76,2.33,11.48,1.05,0.19,0.38,0.1,0.1
1265,Primeira Liga (PT),60108,Felix Bacher,F. Bacher,2000-10-25,98.46,26.5,25.2,34,34,0,236.0,6.94,0.03,0.0,2.41,2.15,11.67,0.56,0.29,0.38,0.18,0.0
