competition_edition,league,player_id,player_name,player_short_name,player_birthdate,minutes,minutes_tip,minutes_otip,performance_count,performance_included_count,performance_failed_count,optionoffered_count_total,optionoffered_count,optionoffered_count_targeted,optionoffered_count_received,optionoffered_count_shotwithin10s,optionoffered_count_goalwithin10s,optionoffered_count_linebreak,optionoffered_count_dangerous,optionoffered_count_inspace,optionoffered_count_wide,optionoffered_count_insidedefensiveshape,optionoffered_count_outsidedefensiveshape,optionoffered_count_penaltyarea,optionoffered_count_penaltyarea_received,optionoffered_count_penaltyarea_shotwithin10s,optionoffered_count_penaltyarea_goalwithin10s
1396,Eliteserien (NO),1009830,Bendik Slotfeldt Berntsen,B. Berntsen,2007-04-17,52.2,15.81,15.11,14,14,0,960.0,68.57,18.29,13.29,1.64,0.07,25.86,10.71,8.86,46.07,24.21,44.36,4.5,0.29,0.14,0.0
1396,Eliteserien (NO),1010194,Ola  Visted,O. Visted,2005-03-30,27.46,8.27,7.4,12,12,0,518.0,43.17,8.58,6.75,0.42,0.0,13.5,10.58,4.17,14.17,32.0,11.17,5.25,0.33,0.17,0.0
1396,Eliteserien (NO),1010320,Mads Mikkelsen,M. Mikkelsen,2008-08-28,4.36,0.6,2.12,2,2,0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1396,Eliteserien (NO),1017002,Filip Voster Botnen,F. Botnen,2006-06-11,9.35,1.64,3.08,1,1,0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
1396,Eliteserien (NO),1017468,Bop Gueye,B. Gueye,2007-03-06,16.14,3.39,4.81,11,11,0,172.0,15.64,4.0,2.09,0.36,0.09,3.36,7.64,1.45,2.27,12.73,2.91,2.91,0.18,0.09,0.0
1396,Eliteserien (NO),1018064,Kennedy Ikechukwu Okpaleke,K. Okpaleke,2008-11-16,5.97,1.4,1.9,2,2,0,13.0,6.5,1.5,0.0,0.0,0.0,0.5,2.5,0.0,1.5,4.0,2.5,2.0,0.0,0.0,0.0
1396,Eliteserien (NO),1018065,Eirik Julius Granaas,E. Julius Granaas,2010-03-24,17.92,4.48,4.22,8,8,0,156.0,19.5,5.5,4.88,0.38,0.12,5.38,5.38,3.25,5.38,12.62,6.88,1.5,0.5,0.25,0.12
1396,Eliteserien (NO),1019131,Emil Engqvist,E. Engqvist,1999-05-27,61.68,15.51,21.27,10,10,0,553.0,55.3,19.7,19.2,0.2,0.0,0.9,1.8,19.5,15.0,3.6,51.7,1.6,0.2,0.1,0.0
1396,Eliteserien (NO),1019158,Max  Nilsson,M. Nilsson,2005-03-11,54.02,15.04,17.37,10,9,1,837.0,93.0,26.67,25.33,1.11,0.22,6.67,3.67,22.44,32.78,50.56,42.44,1.22,0.11,0.0,0.0
1396,Eliteserien (NO),1019256,Viktor Ekblom,V. Ekblom,1998-07-15,26.5,3.74,11.76,1,1,0,29.0,29.0,14.0,6.0,0.0,0.0,2.0,9.0,2.0,9.0,18.0,11.0,1.0,0.0,0.0,0.0
1396,Eliteserien (NO),1019700,Kparobo Arierhi,K. Arierhi,2007-01-11,28.7,7.69,7.49,11,11,0,363.0,33.0,7.73,3.36,0.64,0.09,11.36,15.45,0.82,3.18,25.27,7.73,7.18,0.36,0.0,0.0
1396,Eliteserien (NO),1025117,Promise Meliga,P. Meliga,2007-08-21,31.19,7.66,10.65,9,9,0,307.0,34.11,7.89,6.22,0.89,0.0,9.0,6.33,4.78,20.78,7.11,27.0,2.89,0.33,0.11,0.0
1396,Eliteserien (NO),1025178,Eron Gojani,E. Gojani,2006-12-02,19.93,4.43,6.57,1,1,0,24.0,24.0,4.0,2.0,0.0,0.0,12.0,9.0,2.0,5.0,16.0,8.0,6.0,0.0,0.0,0.0
1396,Eliteserien (NO),1025179,Johan Solstad-Nøis,J. Solstad-Nøis,2008-01-30,4.82,0.91,2.04,2,2,0,12.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,1.5,1.5,3.5,2.5,0.0,0.0,0.0,0.0
1396,Eliteserien (NO),1028147,Markus Edner Wæhler,M. Wæhler,2007-09-19,11.48,3.46,1.69,1,1,0,10.0,10.0,3.0,1.0,0.0,0.0,2.0,3.0,0.0,1.0,9.0,1.0,1.0,0.0,0.0,0.0
1396,Eliteserien (NO),1046379,Amin Cosic,A. Cosic,2005-10-27,13.05,3.24,2.18,1,1,0,15.0,15.0,5.0,4.0,0.0,0.0,6.0,2.0,4.0,13.0,0.0,15.0,1.0,0.0,0.0,0.0
1396,Eliteserien (NO),1065178,Gabriel Larsen rajkovic,G. Larsen rajkovic,2011-02-23,22.25,6.19,6.57,9,9,0,285.0,31.67,6.56,3.67,0.67,0.11,10.0,11.89,2.33,9.33,20.78,10.89,5.44,0.22,0.0,0.0
1396,Eliteserien (NO),1065179,Deni Alijevitsj Dasjajev,D. Alijevitsj Dasjajev,2004-11-03,30.75,9.94,7.17,5,5,0,185.0,37.0,11.2,9.2,1.2,0.0,6.0,7.8,8.0,25.6,5.4,31.6,3.6,1.0,0.2,0.0
1396,Eliteserien (NO),1065433,Foster Apetorgbor,F. Apetorgbor,2008-03-01,22.57,7.42,4.82,5,5,0,162.0,32.4,9.2,8.4,1.0,0.2,10.4,7.4,5.2,18.0,9.6,22.8,2.2,0.8,0.4,0.0
1396,Eliteserien (NO),1067178,Filip stromland Lien,F. Lien,2009-07-09,8.46,0.5,4.62,2,2,0,8.0,4.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
1396,Eliteserien (NO),1073517,David Benjamin,D. Benjamin,2008-01-17,45.02,13.85,14.16,6,6,0,365.0,60.83,14.67,7.33,1.17,0.17,19.5,19.0,3.83,13.17,41.0,19.83,11.0,0.33,0.17,0.17
1396,Eliteserien (NO),1073689,Oscar Skari Hansen,O. Hansen,2009-03-29,40.82,8.49,16.45,1,1,0,38.0,38.0,11.0,10.0,1.0,1.0,6.0,0.0,6.0,9.0,30.0,8.0,0.0,0.0,0.0,0.0
1396,Eliteserien (NO),1073704,Felix Vá,F. Vá,1998-08-24,90.08,30.21,23.59,1,1,0,148.0,148.0,40.0,30.0,3.0,1.0,42.0,23.0,19.0,71.0,60.0,88.0,10.0,0.0,0.0,0.0
1396,Eliteserien (NO),1074751,Santiago david joseph isaiah Oluwaosominu samuyiwa,S. Oluwaosominu samuyiwa,2006-01-07,19.85,6.35,5.72,2,2,0,59.0,29.5,9.0,5.5,1.5,0.0,11.0,14.0,3.5,6.0,22.0,7.5,4.5,0.0,0.0,0.0
